"null,""Sourced"",""Placed"",""References"",""Value"",""Footprint"",""Quantity"""
"1,"""","""",""C1, C4, C6, C7, C8, C12, C13, C14"",""100nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",8"
"2,"""","""",""C2, C10"",""10uF"",""CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder"",2"
"3,"""","""",""C3, C11"",""4.7uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",2"
"4,"""","""",""C5, C9"",""22pF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",2"
"5,"""","""",""R2, R3"",""330R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"6,"""","""",""R1"",""10K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"7,"""","""",""D1, D4"",""D_Small"",""D_SMB_Handsoldering"",2"
"8,"""","""",""D2, D3"",""LED_Small"",""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"",2"
"9,"""","""",""U1"",""ATmega328P-A"",""TQFP-32_7x7mm_P0.8mm"",1"
"10,"""","""",""U2"",""AMS1117-5.0"",""SOT-223-3_TabPin2"",1"
"11,"""","""",""U3"",""FT232RL"",""SSOP-28_5.3x10.2mm_P0.65mm"",1"
"12,"""","""",""Y1"",""16MHz"",""Crystal_HC49-4H_Vertical"",1"
"13,"""","""",""F1"",""16V/02A"",""Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder"",1"
"14,"""","""",""F2"",""6V/500mA"",""Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder"",1"
"15,"""","""",""SW1"",""SW_DPDT_x2"",""SW_Push_2P2T_Toggle_CK_PVA2xxH4xxxxxxV2"",1"
"16,"""","""",""SW2"",""RESET BUTTON"",""SW_Tactile_SPST_Angled_PTS645Vx31-2LFS"",1"
"17,"""","""",""H1, H2, H3, H4"",""MountingHole"",""MountingHole_3.2mm_M3_ISO14580_Pad"",4"
"18,"""","""",""J6, J7, J8, J9, J16"",""ESC POWER"",""TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"",5"
"19,"""","""",""J4, J5, J10, J11"",""ESC INPUT"",""PinSocket_1x03_P2.54mm_Vertical"",4"
"20,"""","""",""J1"",""POWER CONNECTOR"",""AMASS_XT60-M_1x02_P7.20mm_Vertical"",1"
"21,"""","""",""J2"",""SPI PROG"",""IDC-Header_2x05_P2.54mm_Vertical"",1"
"22,"""","""",""J3"",""USB B"",""USB_B_Lumberg_2411_02_Horizontal"",1"
"23,"""","""",""J12"",""RC TRANSMITTER"",""PinSocket_1x05_P2.54mm_Vertical"",1"
"24,"""","""",""J13"",""TRANSMITTER"",""PinSocket_1x04_P2.54mm_Vertical"",1"
"25,"""","""",""J14"",""GY-88A"",""PinSocket_1x08_P2.54mm_Vertical"",1"
"26,"""","""",""J15"",""FTDI BREAKOUT BOARD"",""PinSocket_1x06_P2.54mm_Vertical"",1"
